TaggedPitchType,PitchCall,PlayResult,RelSpeed,SpinRate,SpinAxis,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide
Fastball,FoulBall,Undefined,93.9199436883,2249.68487097,198.436396273,16.3707195311,5.4668419673,2.06136676893,-0.776321733475
Fastball,FoulBall,Undefined,92.6156227452,2147.18954472,212.739636314,14.5570304372,9.37864819768,2.70003398764,-0.133027654842
Fastball,FoulBall,Undefined,92.5572470203,2133.7631934,210.963248897,13.9814211014,8.40646208257,4.05054871805,-0.557307847743
Curveball,FoulBall,Undefined,79.7168890406,2278.80110022,52.3736359016,-5.57573975754,-7.18198607871,2.34846381819,-0.150597034957
Fastball,InPlay,Double,91.4524997688,2168.20901584,214.008308022,13.5891875831,9.18912462149,2.2973473544,-0.890583763094
Fastball,InPlay,Sacrifice,92.4631577092,2064.97196225,199.376253763,15.9864323966,5.63256645031,2.42619711862,-0.260256524791
Curveball,InPlay,Single,77.8268405861,2147.13701135,39.0136295234,-5.68193568362,-4.56932461119,2.13822911155,0.282645585551
Fastball,FoulBall,Undefined,91.9132198978,2118.8416201,214.029435669,16.2570213936,10.9976849447,2.27112653378,0.38394104497
Fastball,FoulBall,Undefined,91.8705951177,2165.84891468,207.011586036,17.8378241647,9.10882435483,2.39380566079,-0.262212641447
Curveball,InPlay,Out,79.3089771568,2256.63511863,44.8362365441,-4.17957274892,-4.11564258695,2.35975196622,-0.23980752519
